Beid	BexlcudeGM	BidGM	gene.BB	gene.BP	gene.B15	Bgene
51635	0	51635	DHRS7	NA	NA	DHRS7
51665	0	51665	NA	NA	ASB1	ASB1
5169	0	5169	NA	ENPP3	NA	ENPP3
51716	1	NA	NA	CES1P1	NA	CES1P1
5187	0	5187	NA	NA	PER1	PER1
5211	0	5211	PFKL	NA	NA	PFKL
5228	0	5228	NA	NA	PGF	PGF
5268	0	5268	SERPINB5	NA	NA	SERPINB5
5272	0	5272	NA	NA	SERPINB9	SERPINB9
5304	0	5304	PIP	NA	NA	PIP
5307	0	5307	PITX1	NA	NA	PITX1
5339	0	5339	PLEC	NA	NA	PLEC
5341	0	5341	NA	NA	PLEK	PLEK
5351	0	5351	PLOD1	NA	NA	PLOD1
5362	0	5362	NA	NA	PLXNA2	PLXNA2
537	0	537	ATP6AP1	NA	NA	ATP6AP1
53829	0	53829	NA	NA	P2RY13	P2RY13
53831	0	53831	NA	NA	GPR84	GPR84
53841	0	53841	NA	NA	CDHR5	CDHR5
53942	0	53942	CNTN5	NA	NA	CNTN5
540	0	540	NA	NA	ATP7B	ATP7B
54436	0	54436	SH3TC1	NA	NA	SH3TC1
54461	0	54461	NA	NA	FBXW5	FBXW5
5447	0	5447	POR	NA	NA	POR
54472	0	54472	TOLLIP	NA	NA	TOLLIP
54544	0	54544	CRCT1	NA	NA	CRCT1
546	0	546	NA	NA	ATRX	ATRX
5468	0	5468	NA	PPARG	NA	PPARG
54732	0	54732	TMED9	NA	NA	TMED9
54809	0	54809	NA	NA	SAMD9	SAMD9
54843	0	54843	NA	SYTL2	NA	SYTL2
54880	0	54880	NA	NA	BCOR	BCOR
54979	0	54979	NA	NA	HRASLS2	HRASLS2
55007	0	55007	NA	NA	FAM118A	FAM118A
5507	0	5507	NA	NA	PPP1R3C	PPP1R3C
55072	0	55072	NA	NA	RNF31	RNF31
55076	0	55076	NA	TMEM45A	NA	TMEM45A
55108	0	55108	BSDC1	NA	NA	BSDC1
55160	0	55160	ARHGEF10L	NA	NA	ARHGEF10L
55240	0	55240	STEAP3	NA	NA	STEAP3
55301	0	55301	NA	OLAH	NA	OLAH
55316	0	55316	NA	NA	RSAD1	RSAD1
55450	0	55450	NA	CAMK2N1	NA	CAMK2N1
5552	0	5552	NA	NA	SRGN	SRGN
5553	0	5553	NA	NA	PRG2	PRG2
55602	0	55602	NA	NA	CDKN2AIP	CDKN2AIP
5563	0	5563	PRKAA2	NA	NA	PRKAA2
5564	0	5564	NA	NA	PRKAB1	PRKAB1
55716	0	55716	NA	NA	LMBR1L	LMBR1L
55720	0	55720	NA	NA	TSR1	TSR1
55741	0	55741	EDEM2	NA	NA	EDEM2
55743	0	55743	NA	NA	CHFR	CHFR
55795	0	55795	NA	NA	PCID2	PCID2
55830	0	55830	NA	NA	GLT8D1	GLT8D1
5608	0	5608	NA	NA	MAP2K6	MAP2K6
5610	0	5610	NA	NA	EIF2AK2	EIF2AK2
5616	1	NA	NA	NA	PRKY	PRKY
56243	0	56243	KIAA1217	NA	NA	KIAA1217
5627	0	5627	PROS1	NA	NA	PROS1
56339	0	56339	NA	NA	METTL3	METTL3
5654	0	5654	NA	HTRA1	NA	HTRA1
56664	1	NA	NA	NA	VTRNA1-1	VTRNA1-1
56926	0	56926	NCLN	NA	NA	NCLN
56949	0	56949	XAB2	NA	XAB2	XAB2
56996	0	56996	SLC12A9	NA	NA	SLC12A9
57010	0	57010	NA	CABP4	NA	CABP4
57104	0	57104	PNPLA2	NA	NA	PNPLA2
57111	0	57111	RAB25	NA	NA	RAB25
57175	0	57175	CORO1B	NA	NA	CORO1B
57190	0	57190	SELENON	NA	NA	SELENON
57194	0	57194	ATP10A	NA	NA	ATP10A
5737	0	5737	PTGFR	NA	NA	PTGFR
57409	0	57409	MIF4GD	NA	NA	MIF4GD
57413	0	57413	TMIGD3	TMIGD3	NA	TMIGD3
57414	0	57414	RHBDD2	NA	NA	RHBDD2
5743	0	5743	NA	PTGS2	NA	PTGS2
57553	0	57553	NA	NA	MICAL3	MICAL3
57572	0	57572	NA	NA	DOCK6	DOCK6
57584	0	57584	NA	NA	ARHGAP10	ARHGAP10
57595	0	57595	NA	PDZD4	NA	PDZD4
576	0	576	NA	ADGRB2	NA	ADGRB2
5764	0	5764	PTN	NA	NA	PTN
5768	0	5768	QSOX1	NA	NA	QSOX1
57817	0	57817	NA	NA	HAMP	HAMP
5802	0	5802	NA	PTPRS	NA	PTPRS
581	0	581	BAX	NA	NA	BAX
58189	0	58189	NA	WFDC1	NA	WFDC1
5834	0	5834	PYGB	NA	NA	PYGB
58499	0	58499	ZNF462	NA	NA	ZNF462
5858	0	5858	NA	PZP	NA	PZP
5914	0	5914	RARA	NA	NA	RARA
59340	0	59340	NA	HRH4	NA	HRH4
597	0	597	NA	NA	BCL2A1	BCL2A1
5976	0	5976	UPF1	NA	NA	UPF1
5993	0	5993	RFX5	NA	NA	RFX5
6029	1	NA	NA	RN7SL1	NA	RN7SL1
6030	1	NA	NA	RN7SL4P	NA	RN7SL4P
6031	1	NA	RN7SL5P	RN7SL5P	NA	RN7SL5P
6035	0	6035	NA	RNASE1	NA	RNASE1
6036	0	6036	NA	RNASE2	RNASE2	RNASE2
6037	0	6037	NA	RNASE3	RNASE3	RNASE3
6041	0	6041	RNASEL	NA	NA	RNASEL
6045	0	6045	NA	NA	BAP1	BAP1
6060	1	NA	NA	RNU1-4	NA	RNU1-4
608	0	608	NA	TNFRSF17	NA	TNFRSF17
6236	0	6236	NA	NA	RRAD	RRAD
6257	0	6257	NA	NA	RXRB	RXRB
6273	0	6273	NA	NA	S100A2	S100A2
6279	0	6279	NA	NA	S100A8	S100A8
6283	0	6283	NA	NA	S100A12	S100A12
6284	0	6284	NA	NA	S100A13	S100A13
6317	0	6317	SERPINB3	NA	NA	SERPINB3
634	0	634	NA	NA	CEACAM1	CEACAM1
6348	0	6348	NA	NA	CCL3	CCL3
6351	0	6351	NA	CCL4	CCL4	CCL4
6354	0	6354	NA	NA	CCL7	CCL7
6355	0	6355	NA	NA	CCL8	CCL8
6356	0	6356	NA	NA	CCL11	CCL11
6372	0	6372	CXCL6	NA	NA	CXCL6
6382	0	6382	NA	SDC1	NA	SDC1
63898	0	63898	NA	SH2D4A	NA	SH2D4A
6402	0	6402	NA	NA	SELL	SELL
6405	0	6405	NA	NA	SEMA3F	SEMA3F
64112	0	64112	NA	NA	MOAP1	MOAP1
64222	0	64222	TOR3A	NA	NA	TOR3A
6423	0	6423	NA	NA	SFRP2	SFRP2
643332	1	NA	NA	NA	ECRP	ECRP
64344	0	64344	NA	NA	HIF3A	HIF3A
64407	0	64407	NA	NA	RGS18	RGS18
64411	0	64411	NA	NA	ARAP3	ARAP3
64423	0	64423	INF2	NA	NA	INF2
6444	0	6444	NA	SGCD	NA	SGCD
644861	1	NA	NA	NBPF13P	NA	NBPF13P
64599	0	64599	GIGYF1	NA	NA	GIGYF1
646023	1	NA	NA	ADORA2A-AS1	NA	ADORA2A-AS1
646214	1	NA	NA	NA	LOC646214	LOC646214
64760	0	64760	NA	NA	FAM160B2	FAM160B2
64762	0	64762	GAREM1	NA	NA	GAREM1
64847	0	64847	SPATA20	NA	NA	SPATA20
64919	0	64919	NA	BCL11B	NA	BCL11B
64943	0	64943	NA	NA	NT5DC2	NT5DC2
6499	0	6499	NA	NA	SKIV2L	SKIV2L
6507	0	6507	NA	SLC1A3	NA	SLC1A3
6512	0	6512	NA	SLC1A7	NA	SLC1A7
6525	0	6525	NA	NA	SMTN	SMTN
652995	1	NA	UCA1	NA	NA	UCA1
653082	1	ZDHHC11B	NA	ZDHHC11B	NA	ZDHHC11B
6533	0	6533	SLC6A6	NA	NA	SLC6A6
6548	0	6548	NA	NA	SLC9A1	SLC9A1
658	0	658	BMPR1B	NA	NA	BMPR1B
65982	0	65982	NA	NA	ZSCAN18	ZSCAN18
6603	0	6603	SMARCD2	NA	NA	SMARCD2
6625	0	6625	SNRNP70	NA	NA	SNRNP70
6693	0	6693	SPN	NA	NA	SPN
6698	0	6698	SPRR1A	NA	NA	SPRR1A
6699	0	6699	SPRR1B	NA	NA	SPRR1B
6703	0	6703	SPRR2D	NA	NA	SPRR2D
6704	0	6704	NA	NA	SPRR2E	SPRR2E
6707	0	6707	SPRR3	NA	NA	SPRR3
677763	1	NA	NA	SCARNA21	NA	SCARNA21
677775	1	NA	NA	SCARNA5	NA	SCARNA5
677841	1	NA	NA	NA	SNORA74B	SNORA74B
6779	0	6779	STATH	NA	NA	STATH
684	0	684	BST2	NA	NA	BST2
6853	0	6853	NA	NA	SYN1	SYN1
6854	0	6854	NA	SYN2	NA	SYN2
6904	0	6904	NA	NA	TBCD	TBCD
6909	0	6909	NA	NA	TBX2	TBX2
6947	0	6947	NA	TCN1	NA	TCN1
6948	0	6948	NA	TCN2	NA	TCN2
7031	0	7031	TFF1	NA	NA	TFF1
7042	0	7042	TGFB2	NA	NA	TGFB2
7049	0	7049	NA	TGFBR3	NA	TGFBR3
7057	0	7057	THBS1	NA	NA	THBS1
7068	0	7068	THRB	NA	NA	THRB
7079	0	7079	NA	TIMP4	NA	TIMP4
7103	0	7103	TSPAN8	NA	NA	TSPAN8
7123	0	7123	NA	NA	CLEC3B	CLEC3B
7124	0	7124	NA	NA	TNF	TNF
7127	0	7127	TNFAIP2	NA	NA	TNFAIP2
713	0	713	NA	C1QB	NA	C1QB
714	0	714	C1QC	C1QC	NA	C1QC
7148	0	7148	NA	NA	TNXB	TNXB
7169	0	7169	NA	TPM2	NA	TPM2
7177	0	7177	NA	NA	TPSB2	TPSB2
728084	1	NA	NA	LINC02458	NA	LINC02458
728763	1	NA	NA	CROCC2	NA	CROCC2
729402	1	NA	RPL21P16	NA	NA	RPL21P16
7297	0	7297	TYK2	NA	NA	TYK2
729830	0	729830	NA	FAM160A1	NA	FAM160A1
7314	0	7314	UBB	NA	NA	UBB
7348	0	7348	UPK1B	NA	NA	UPK1B
7391	0	7391	USF1	NA	NA	USF1
7408	0	7408	VASP	NA	NA	VASP
7454	0	7454	NA	NA	WAS	WAS
7508	0	7508	NA	NA	XPC	XPC
759	0	759	NA	NA	CA1	CA1
767	0	767	CA8	NA	NA	CA8
768096	1	NA	NA	HAR1A	NA	HAR1A
773	0	773	NA	NA	CACNA1A	CACNA1A
79073	0	79073	TMEM109	NA	NA	TMEM109
79098	0	79098	C1orf116	NA	NA	C1orf116
79137	0	79137	RETREG2	NA	NA	RETREG2
79228	0	79228	NA	NA	THOC6	THOC6
79370	0	79370	NA	NA	BCL2L14	BCL2L14
79414	0	79414	NA	NA	LRFN3	LRFN3
79415	0	79415	CYBC1	NA	NA	CYBC1
79656	0	79656	BEND5	NA	NA	BEND5
79674	0	79674	VEPH1	NA	NA	VEPH1
79679	0	79679	VTCN1	NA	NA	VTCN1
79709	0	79709	COLGALT1	NA	NA	COLGALT1
79933	0	79933	NA	NA	SYNPO2L	SYNPO2L
79983	0	79983	POF1B	NA	NA	POF1B
80004	0	80004	NA	ESRP2	NA	ESRP2
80148	0	80148	NA	NA	PQLC1	PQLC1
80231	0	80231	NA	NA	CXorf21	CXorf21
80303	0	80303	EFHD1	NA	NA	EFHD1
80325	0	80325	NA	NA	ABTB1	ABTB1
81622	0	81622	UNC93B1	NA	NA	UNC93B1
8189	0	8189	SYMPK	NA	NA	SYMPK
8216	0	8216	NA	NA	LZTR1	LZTR1
8227	0	8227	NA	NA	AKAP17A	AKAP17A
8322	0	8322	NA	NA	FZD4	FZD4
8332	0	8332	HIST1H2AL	NA	NA	HIST1H2AL
8338	0	8338	HIST2H2AC	NA	NA	HIST2H2AC
8345	0	8345	HIST1H2BH	NA	NA	HIST1H2BH
83606	0	83606	NA	NA	GUCD1	GUCD1
8366	0	8366	HIST1H4B	NA	NA	HIST1H4B
838	0	838	NA	NA	CASP5	CASP5
83854	0	83854	NA	ANGPTL6	NA	ANGPTL6
83857	0	83857	NA	NA	TMTC1	TMTC1
83879	0	83879	NA	NA	CDCA7	CDCA7
8409	0	8409	NA	NA	STAP1	STAP1
84189	0	84189	SLITRK6	NA	NA	SLITRK6
84302	0	84302	TMEM246	NA	NA	TMEM246
8460	0	8460	NA	TPST1	NA	TPST1
84659	0	84659	RNASE7	NA	NA	RNASE7
84815	1	NA	NA	NA	MGC12916	MGC12916
84875	0	84875	PARP10	NA	NA	PARP10
84941	0	84941	NA	NA	HSH2D	HSH2D
84952	0	84952	CGNL1	NA	NA	CGNL1
8519	0	8519	NA	NA	IFITM1	IFITM1
85378	0	85378	TUBGCP6	NA	NA	TUBGCP6
85414	0	85414	NA	SLC45A3	NA	SLC45A3
8570	0	8570	KHSRP	NA	NA	KHSRP
8642	0	8642	NA	NA	DCHS1	DCHS1
8685	0	8685	MARCO	NA	NA	MARCO
8714	0	8714	ABCC3	NA	NA	ABCC3
8715	0	8715	NA	NA	NOL4	NOL4
8731	0	8731	NA	NA	RNMT	RNMT
8794	0	8794	NA	TNFRSF10C	NA	TNFRSF10C
8796	0	8796	SCEL	NA	NA	SCEL
8815	0	8815	BANF1	NA	NA	BANF1
8820	0	8820	NA	NA	HESX1	HESX1
8839	0	8839	NA	NA	WISP2	WISP2
8844	0	8844	KSR1	NA	NA	KSR1
89849	0	89849	ATG16L2	NA	NA	ATG16L2
89858	0	89858	NA	SIGLEC12	NA	SIGLEC12
8993	0	8993	NA	NA	PGLYRP1	PGLYRP1
9002	0	9002	NA	NA	F2RL3	F2RL3
90134	0	90134	NA	NA	KCNH7	KCNH7
90139	0	90139	NA	NA	TSPAN18	TSPAN18
9052	0	9052	GPRC5A	NA	NA	GPRC5A
9064	0	9064	NA	NA	MAP3K6	MAP3K6
9075	0	9075	NA	NA	CLDN2	CLDN2
90864	0	90864	NA	NA	SPSB3	SPSB3
9123	0	9123	SLC16A3	NA	NA	SLC16A3
91351	0	91351	NA	NA	DDX60L	DDX60L
91663	0	91663	MYADM	NA	NA	MYADM
9241	0	9241	NA	NOG	NA	NOG
9245	0	9245	NA	NA	GCNT3	GCNT3
9254	0	9254	NA	CACNA2D2	NA	CACNA2D2
93010	0	93010	B3GNT7	NA	NA	B3GNT7
931	0	931	NA	MS4A2	NA	MS4A2
9324	0	9324	NA	NA	HMGN3	HMGN3
9332	0	9332	NA	CD163	NA	CD163
9344	0	9344	TAOK2	NA	NA	TAOK2
9381	0	9381	NA	OTOF	NA	OTOF
9398	0	9398	CD101	NA	NA	CD101
94	0	94	NA	ACVRL1	NA	ACVRL1
94025	0	94025	MUC16	NA	NA	MUC16
9407	0	9407	TMPRSS11D	NA	NA	TMPRSS11D
9411	0	9411	NA	ARHGAP29	NA	ARHGAP29
94122	0	94122	SYTL5	NA	NA	SYTL5
94234	0	94234	FOXQ1	NA	NA	FOXQ1
9452	0	9452	NA	NA	ITM2A	ITM2A
9470	0	9470	NA	NA	EIF4E2	EIF4E2
9509	0	9509	NA	ADAMTS2	ADAMTS2	ADAMTS2
951	0	951	NA	NA	CD37	CD37
955	0	955	NA	NA	ENTPD6	ENTPD6
9560	0	9560	NA	CCL4L2	NA	CCL4L2
9563	0	9563	H6PD	NA	NA	H6PD
9590	0	9590	NA	AKAP12	NA	AKAP12
9601	0	9601	PDIA4	NA	NA	PDIA4
9636	0	9636	NA	NA	ISG15	ISG15
9646	0	9646	NA	NA	CTR9	CTR9
9673	0	9673	NA	NA	SLC25A44	SLC25A44
9701	0	9701	NA	NA	PPP6R2	PPP6R2
976	0	976	ADGRE5	NA	NA	ADGRE5
978	0	978	NA	NA	CDA	CDA
9780	0	9780	PIEZO1	NA	NA	PIEZO1
9842	0	9842	NA	NA	PLEKHM1	PLEKHM1
9854	0	9854	C2CD2L	NA	NA	C2CD2L
9891	0	9891	NA	NUAK1	NA	NUAK1
9905	0	9905	NA	NA	SGSM2	SGSM2
9925	0	9925	NA	NA	ZBTB5	ZBTB5
993	0	993	NA	CDC25A	NA	CDC25A
9955	0	9955	NA	NA	HS3ST3A1	HS3ST3A1
9961	0	9961	MVP	NA	NA	MVP
9975	0	9975	NA	NA	NR1D2	NR1D2
AC004765.1	1	NA	AC004765.1	NA	NA	AC004765.1
AC006141.1	1	NA	AC006141.1	NA	NA	AC006141.1
AC008033.3	1	NA	NA	AC008033.3	NA	AC008033.3
AC008533.1	1	NA	NA	AC008533.1	NA	AC008533.1
AC008735.2	1	NA	NA	AC008735.2	NA	AC008735.2
AC008957.3	1	NA	NA	AC008957.3	NA	AC008957.3
AC009951.4	1	NA	AC009951.4	NA	NA	AC009951.4
AC010894.3	1	NA	NA	AC010894.3	NA	AC010894.3
AC010894.5	1	NA	NA	AC010894.5	NA	AC010894.5
AC011933.2	1	NA	AC011933.2	NA	NA	AC011933.2
AC012066.1	1	NA	AC012066.1	NA	NA	AC012066.1
AC012066.2	1	NA	AC012066.2	NA	NA	AC012066.2
AC020659.1	1	NA	NA	AC020659.1	NA	AC020659.1
AC022217.3	1	NA	NA	AC022217.3	NA	AC022217.3
AC022973.3	1	NA	NA	AC022973.3	NA	AC022973.3
AC026403.1	1	NA	AC026403.1	NA	NA	AC026403.1
AC027601.6	1	NA	NA	AC027601.6	NA	AC027601.6
AC034236.1	1	NA	AC034236.1	NA	NA	AC034236.1
AC058791.1	1	NA	NA	AC058791.1	NA	AC058791.1
AC068282.1	1	NA	NA	AC068282.1	NA	AC068282.1
AC079793.1	1	NA	AC079793.1	AC079793.1	NA	AC079793.1
AC089984.2	1	NA	NA	AC089984.2	NA	AC089984.2
AC090498.1	0	AC090498.1	AC090498.1	NA	NA	AC090498.1
AC104126.1	1	NA	AC104126.1	NA	NA	AC104126.1
AC104809.2	1	NA	NA	AC104809.2	NA	AC104809.2
AC105052.5	1	NA	AC105052.5	NA	NA	AC105052.5
AC106865.1	1	NA	NA	AC106865.1	NA	AC106865.1
AC111000.4	1	NA	NA	AC111000.4	NA	AC111000.4
AC111149.2	1	NA	AC111149.2	NA	NA	AC111149.2
AC122718.1	1	NA	AC122718.1	NA	NA	AC122718.1
AC131568.1	1	NA	NA	AC131568.1	NA	AC131568.1
AL031283.1	1	NA	NA	AL031283.1	NA	AL031283.1
AL033519.3	1	NA	AL033519.3	NA	NA	AL033519.3
AL035661.1	1	NA	AL035661.1	NA	NA	AL035661.1
AL133243.4	1	NA	AL133243.4	NA	NA	AL133243.4
AL139100.1	1	NA	AL139100.1	NA	NA	AL139100.1
AL355922.1	1	NA	NA	AL355922.1	NA	AL355922.1
AL357093.2	1	NA	AL357093.2	NA	NA	AL357093.2
AL359636.2	1	NA	NA	AL359636.2	NA	AL359636.2
AL359962.2	1	NA	NA	AL359962.2	NA	AL359962.2
AL359962.3	1	NA	NA	AL359962.3	NA	AL359962.3
AL499604.1	1	NA	NA	AL499604.1	NA	AL499604.1
AL645608.2	1	NA	NA	AL645608.2	NA	AL645608.2
AP003717.4	1	NA	NA	AP003717.4	NA	AP003717.4
CR392039.1	1	NA	NA	CR392039.1	NA	CR392039.1
FP236383.4	1	NA	NA	FP236383.4	NA	FP236383.4
FP236383.5	1	NA	NA	FP236383.5	NA	FP236383.5
FP671120.2	1	NA	NA	FP671120.2	NA	FP671120.2
FP671120.6	1	NA	NA	FP671120.6	NA	FP671120.6
FP671120.7	1	NA	NA	FP671120.7	NA	FP671120.7
MT-RNR1	1	NA	MT-RNR1	NA	NA	MT-RNR1
Z94721.1	1	NA	NA	Z94721.1	NA	Z94721.1
