DrugName,GeneTarget,Num,PathwayID,PathwayName
zinc acetate,NME1,4,hsa00230;hsa00240;hsa00983;hsa01100,purine metabolism;pyrimidine metabolism;drug metabolism - other enzymes;metabolic pathways
zinc acetate,C8G,4,hsa04610;hsa05020;hsa05146;hsa05322,complement and coagulation cascades;prion diseases;amoebiasis;systemic lupus erythematosus
zinc acetate,TP53,49,hsa01522;hsa01524;hsa04010;hsa04071;hsa04110;hsa04115;hsa04137;hsa04151;hsa04210;hsa04211;hsa04216;hsa04218;hsa04310;hsa04722;hsa04919;hsa05014;hsa05016;hsa05131;hsa05160;hsa05161;hsa05162;hsa05163;hsa05165;hsa05166;hsa05167;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05205;hsa05206;hsa05210;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05217;hsa05218;hsa05219;hsa05220;hsa05222;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05418,endocrine resistance;platinum drug resistance;mapk signaling pathway;sphingolipid signaling pathway;cell cycle;p53 signaling pathway;mitophagy - animal;pi3k-akt signaling pathway;apoptosis;longevity regulating pathway;ferroptosis;cellular senescence;wnt signaling pathway;neurotrophin signaling pathway;thyroid hormone signaling pathway;amyotrophic lateral sclerosis ;huntington disease;shigellosis;hepatitis c;hepatitis b;measles;human cytomegalovirus infection;human papillomavirus infection;human t-cell leukemia virus 1 infection;kaposi sarcoma-associated herpesvirus infection;herpes simplex virus 1 infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;proteoglycans in cancer;micrornas in cancer;colorectal cancer;pancreatic cancer;endometrial cancer;glioma;prostate cancer;thyroid cancer;basal cell carcinoma;melanoma;bladder cancer;chronic myeloid leukemia;small cell lung cancer;non-small cell lung cancer;breast cancer;hepatocellular carcinoma;gastric cancer;central carbon metabolism in cancer;fluid shear stress and atherosclerosis
zinc acetate,APP,2,hsa04726;hsa05010,serotonergic synapse;alzheimer disease
zinc acetate,APOA1,5,hsa03320;hsa04975;hsa04977;hsa04979;hsa05143,ppar signaling pathway;fat digestion and absorption;vitamin digestion and absorption;cholesterol metabolism;african trypanosomiasis
zinc acetate,C3,14,hsa04080;hsa04145;hsa04610;hsa05131;hsa05133;hsa05134;hsa05140;hsa05142;hsa05150;hsa05152;hsa05167;hsa05168;hsa05203;hsa05322,neuroactive ligand-receptor interaction;phagosome;complement and coagulation cascades;shigellosis;pertussis;legionellosis;leishmaniasis;chagas disease ;staphylococcus aureus infection;tuberculosis;kaposi sarcoma-associated herpesvirus infection;herpes simplex virus 1 infection;viral carcinogenesis;systemic lupus erythematosus
zinc acetate,INS,28,hsa04010;hsa04014;hsa04015;hsa04022;hsa04066;hsa04068;hsa04072;hsa04114;hsa04140;hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04810;hsa04910;hsa04911;hsa04913;hsa04914;hsa04917;hsa04923;hsa04930;hsa04931;hsa04932;hsa04940;hsa04950;hsa04960;hsa05215,mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;cgmp-pkg signaling pathway;hif-1 signaling pathway;foxo signaling pathway;phospholipase d signaling pathway;oocyte meiosis;autophagy - animal;mtor signaling pathway;pi3k-akt signaling pathway;ampk signaling pathway;longevity regulating pathway;longevity regulating pathway - multiple species;regulation of actin cytoskeleton;insulin signaling pathway;insulin secretion;ovarian steroidogenesis;progesterone-mediated oocyte maturation;prolactin signaling pathway;regulation of lipolysis in adipocytes;type ii diabetes mellitus;insulin resistance;non-alcoholic fatty liver disease ;type i diabetes mellitus;maturity onset diabetes of the young;aldosterone-regulated sodium reabsorption;prostate cancer
zinc acetate,CPN1,0,,
zinc acetate,CPN2,0,,
zinc acetate,HDAC4,4,hsa04371;hsa05034;hsa05203;hsa05206,apelin signaling pathway;alcoholism;viral carcinogenesis;micrornas in cancer
zinc acetate,S100A2,0,,
zinc acetate,ORM2,0,,
zinc acetate,S100A7,1,hsa04657,il-17 signaling pathway
zinc acetate,TPI1,6,hsa00010;hsa00051;hsa00562;hsa01100;hsa01200;hsa01230,glycolysis / gluconeogenesis;fructose and mannose metabolism;inositol phosphate metabolism;metabolic pathways;carbon metabolism;biosynthesis of amino acids
zinc acetate,GSN,3,hsa04666;hsa04810;hsa05203,fc gamma r-mediated phagocytosis;regulation of actin cytoskeleton;viral carcinogenesis
zinc acetate,EEF1A1,3,hsa03013;hsa05134;hsa05140,rna transport;legionellosis;leishmaniasis
zinc acetate,TUFM,0,,
zinc acetate,PSPH,4,hsa00260;hsa01100;hsa01200;hsa01230,"glycine, serine and threonine metabolism;metabolic pathways;carbon metabolism;biosynthesis of amino acids"
zinc acetate,PGLYRP2,0,,
zinc acetate,F12,1,hsa04610,complement and coagulation cascades
zinc acetate,C4B,4,hsa04610;hsa05133;hsa05150;hsa05322,complement and coagulation cascades;pertussis;staphylococcus aureus infection;systemic lupus erythematosus
zinc acetate,MT1A,1,hsa04978,mineral absorption
zinc acetate,MT2A,1,hsa04978,mineral absorption
zinc acetate,IGHA1,0,,
zinc acetate,IGHM,0,,
zinc acetate,SEPP1,0,,
zinc acetate,DAND5,0,,
zinc acetate,MT3,0,,
zinc acetate,ENO1,6,hsa00010;hsa01100;hsa01200;hsa01230;hsa03018;hsa04066,glycolysis / gluconeogenesis;metabolic pathways;carbon metabolism;biosynthesis of amino acids;rna degradation;hif-1 signaling pathway
zinc acetate,PDCD6,0,,
zinc acetate,CCS,1,hsa05014,amyotrophic lateral sclerosis 
zinc acetate,BDKRB1,6,hsa04020;hsa04080;hsa04610;hsa04750;hsa04810;hsa05200,calcium signaling pathway;neuroactive ligand-receptor interaction;complement and coagulation cascades;inflammatory mediator regulation of trp channels;regulation of actin cytoskeleton;pathways in cancer
zinc acetate,SEMG1,0,,
zinc acetate,SIVA1,1,hsa04115,p53 signaling pathway
zinc acetate,UTRN,0,,
zinc acetate,PRDX1,2,hsa04146;hsa05146,peroxisome;amoebiasis
zinc acetate,APOBR,0,,
zinc acetate,MPG,1,hsa03410,base excision repair
zinc acetate,S100A8,1,hsa04657,il-17 signaling pathway
zinc acetate,PDIA3,6,hsa04141;hsa04612;hsa05163;hsa05168;hsa05169;hsa05170,protein processing in endoplasmic reticulum;antigen processing and presentation;human cytomegalovirus infection;herpes simplex virus 1 infection;epstein-barr virus infection;human immunodeficiency virus 1 infection
zinc acetate,S100A9,1,hsa04657,il-17 signaling pathway
zinc acetate,TP73,4,hsa04115;hsa04390;hsa04722;hsa05162,p53 signaling pathway;hippo signaling pathway;neurotrophin signaling pathway;measles
zinc acetate,A1BG,0,,
zinc acetate,AHSG,0,,
zinc acetate,APOA4,3,hsa04975;hsa04977;hsa04979,fat digestion and absorption;vitamin digestion and absorption;cholesterol metabolism
zinc acetate,C4BPA,2,hsa04610;hsa05133,complement and coagulation cascades;pertussis
zinc acetate,C8B,4,hsa04610;hsa05020;hsa05146;hsa05322,complement and coagulation cascades;prion diseases;amoebiasis;systemic lupus erythematosus
zinc acetate,CFH,2,hsa04610;hsa05150,complement and coagulation cascades;staphylococcus aureus infection
zinc acetate,CFI,2,hsa04610;hsa05150,complement and coagulation cascades;staphylococcus aureus infection
zinc acetate,CLU,1,hsa04610,complement and coagulation cascades
zinc acetate,HPR,1,hsa05143,african trypanosomiasis
zinc acetate,IGFALS,1,hsa04935,"growth hormone synthesis, secretion and action"
zinc acetate,ITIH2,0,,
zinc acetate,KRT1,0,,
zinc acetate,KRT10,2,hsa04915;hsa05150,estrogen signaling pathway;staphylococcus aureus infection
zinc acetate,KRT2,0,,
zinc acetate,KRT9,2,hsa04915;hsa05150,estrogen signaling pathway;staphylococcus aureus infection
zinc acetate,SERPINA4,0,,
zinc acetate,APOL1,1,hsa05143,african trypanosomiasis
zinc acetate,C4BPB,2,hsa04610;hsa05133,complement and coagulation cascades;pertussis
zinc acetate,BRCC3,2,hsa03440;hsa04621,homologous recombination;nod-like receptor signaling pathway
zinc acetate,C8A,4,hsa04610;hsa05020;hsa05146;hsa05322,complement and coagulation cascades;prion diseases;amoebiasis;systemic lupus erythematosus
zinc acetate,DCD,0,,
zinc acetate,DSP,1,hsa05412,arrhythmogenic right ventricular cardiomyopathy 
zinc acetate,F13B,1,hsa04610,complement and coagulation cascades
zinc acetate,FCN3,0,,
zinc acetate,HRNR,0,,
zinc acetate,IGKV1-17,0,,
zinc acetate,IGLV3-21,0,,
zinc acetate,ITIH1,0,,
zinc acetate,ITIH3,0,,
zinc acetate,ITIH4,0,,
zinc acetate,JCHAIN,0,,
zinc acetate,JUP,5,hsa05200;hsa05202;hsa05221;hsa05226;hsa05412,pathways in cancer;transcriptional misregulation in cancer;acute myeloid leukemia;gastric cancer;arrhythmogenic right ventricular cardiomyopathy 
zinc acetate,KRT14,2,hsa04915;hsa05150,estrogen signaling pathway;staphylococcus aureus infection
zinc acetate,KRT16,2,hsa04915;hsa05150,estrogen signaling pathway;staphylococcus aureus infection
zinc acetate,KRT5,0,,
zinc acetate,KRT6A,0,,
zinc acetate,PZP,0,,
zinc acetate,SERPINA3,0,,
zinc acetate,APLP1,0,,
zinc acetate,APLP2,0,,
dasatinib,ABL1,11,hsa04012;hsa04014;hsa04110;hsa04360;hsa04722;hsa05130;hsa05131;hsa05200;hsa05206;hsa05220;hsa05416,erbb signaling pathway;ras signaling pathway;cell cycle;axon guidance;neurotrophin signaling pathway;pathogenic escherichia coli infection;shigellosis;pathways in cancer;micrornas in cancer;chronic myeloid leukemia;viral myocarditis
dasatinib,PDGFRB,19,hsa01521;hsa04010;hsa04014;hsa04015;hsa04020;hsa04072;hsa04151;hsa04510;hsa04540;hsa04630;hsa04810;hsa05165;hsa05200;hsa05206;hsa05214;hsa05215;hsa05218;hsa05230;hsa05231,egfr tyrosine kinase inhibitor resistance;mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;calcium signaling pathway;phospholipase d signaling pathway;pi3k-akt signaling pathway;focal adhesion;gap junction;jak-stat signaling pathway;regulation of actin cytoskeleton;human papillomavirus infection;pathways in cancer;micrornas in cancer;glioma;prostate cancer;melanoma;central carbon metabolism in cancer;choline metabolism in cancer
dasatinib,PPAT,3,hsa00230;hsa00250;hsa01100,"purine metabolism;alanine, aspartate and glutamate metabolism;metabolic pathways"
dasatinib,ABL2,3,hsa04012;hsa04014;hsa05416,erbb signaling pathway;ras signaling pathway;viral myocarditis
dasatinib,KIT,11,hsa04010;hsa04014;hsa04015;hsa04072;hsa04151;hsa04640;hsa04916;hsa05200;hsa05221;hsa05224;hsa05230,mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;phospholipase d signaling pathway;pi3k-akt signaling pathway;hematopoietic cell lineage;melanogenesis;pathways in cancer;acute myeloid leukemia;breast cancer;central carbon metabolism in cancer
dasatinib,SRC,37,hsa01521;hsa01522;hsa04012;hsa04015;hsa04062;hsa04137;hsa04144;hsa04360;hsa04370;hsa04510;hsa04520;hsa04530;hsa04540;hsa04611;hsa04625;hsa04727;hsa04750;hsa04810;hsa04912;hsa04915;hsa04917;hsa04919;hsa04921;hsa04926;hsa05100;hsa05120;hsa05131;hsa05135;hsa05152;hsa05161;hsa05163;hsa05167;hsa05168;hsa05203;hsa05205;hsa05219;hsa05418,egfr tyrosine kinase inhibitor resistance;endocrine resistance;erbb signaling pathway;rap1 signaling pathway;chemokine signaling pathway;mitophagy - animal;endocytosis;axon guidance;vegf signaling pathway;focal adhesion;adherens junction;tight junction;gap junction;platelet activation;c-type lectin receptor signaling pathway;gabaergic synapse;inflammatory mediator regulation of trp channels;regulation of actin cytoskeleton;gnrh signaling pathway;estrogen signaling pathway;prolactin signaling pathway;thyroid hormone signaling pathway;oxytocin signaling pathway;relaxin signaling pathway;bacterial invasion of epithelial cells;epithelial cell signaling in helicobacter pylori infection;shigellosis;yersinia infection;tuberculosis;hepatitis b;human cytomegalovirus infection;kaposi sarcoma-associated herpesvirus infection;herpes simplex virus 1 infection;viral carcinogenesis;proteoglycans in cancer;bladder cancer;fluid shear stress and atherosclerosis
dasatinib,FYN,14,hsa04071;hsa04072;hsa04360;hsa04380;hsa04510;hsa04520;hsa04611;hsa04650;hsa04660;hsa04664;hsa04725;hsa05020;hsa05130;hsa05416,sphingolipid signaling pathway;phospholipase d signaling pathway;axon guidance;osteoclast differentiation;focal adhesion;adherens junction;platelet activation;natural killer cell mediated cytotoxicity;t cell receptor signaling pathway;fc epsilon ri signaling pathway;cholinergic synapse;prion diseases;pathogenic escherichia coli infection;viral myocarditis
dasatinib,YES1,1,hsa04520,adherens junction
dasatinib,EPHA2,5,hsa04010;hsa04014;hsa04015;hsa04151;hsa04360,mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;pi3k-akt signaling pathway;axon guidance
dasatinib,LCK,10,hsa04064;hsa04380;hsa04650;hsa04658;hsa04659;hsa04660;hsa05135;hsa05166;hsa05235;hsa05340,nf-kappa b signaling pathway;osteoclast differentiation;natural killer cell mediated cytotoxicity;th1 and th2 cell differentiation;th17 cell differentiation;t cell receptor signaling pathway;yersinia infection;human t-cell leukemia virus 1 infection;pd-l1 expression and pd-1 checkpoint pathway in cancer;primary immunodeficiency
dasatinib,STAT5B,17,hsa04012;hsa04062;hsa04217;hsa04630;hsa04658;hsa04659;hsa04917;hsa04933;hsa04935;hsa05161;hsa05162;hsa05166;hsa05200;hsa05203;hsa05220;hsa05221;hsa05223,"erbb signaling pathway;chemokine signaling pathway;necroptosis;jak-stat signaling pathway;th1 and th2 cell differentiation;th17 cell differentiation;prolactin signaling pathway;age-rage signaling pathway in diabetic complications;growth hormone synthesis, secretion and action;hepatitis b;measles;human t-cell leukemia virus 1 infection;pathways in cancer;viral carcinogenesis;chronic myeloid leukemia;acute myeloid leukemia;non-small cell lung cancer"
dasatinib,MAPK14,53,hsa01522;hsa04010;hsa04015;hsa04068;hsa04071;hsa04114;hsa04218;hsa04261;hsa04370;hsa04380;hsa04550;hsa04611;hsa04620;hsa04621;hsa04622;hsa04625;hsa04657;hsa04658;hsa04659;hsa04660;hsa04664;hsa04668;hsa04670;hsa04714;hsa04722;hsa04723;hsa04728;hsa04750;hsa04912;hsa04914;hsa04917;hsa04926;hsa04933;hsa04935;hsa05014;hsa05120;hsa05130;hsa05131;hsa05132;hsa05133;hsa05135;hsa05140;hsa05142;hsa05145;hsa05152;hsa05161;hsa05163;hsa05167;hsa05169;hsa05170;hsa05205;hsa05235;hsa05418,"endocrine resistance;mapk signaling pathway;rap1 signaling pathway;foxo signaling pathway;sphingolipid signaling pathway;oocyte meiosis;cellular senescence;adrenergic signaling in cardiomyocytes;vegf signaling pathway;osteoclast differentiation;signaling pathways regulating pluripotency of stem cells;platelet activation;toll-like receptor signaling pathway;nod-like receptor signaling pathway;rig-i-like receptor signaling pathway;c-type lectin receptor signaling pathway;il-17 signaling pathway;th1 and th2 cell differentiation;th17 cell differentiation;t cell receptor signaling pathway;fc epsilon ri signaling pathway;tnf signaling pathway;leukocyte transendothelial migration;thermogenesis;neurotrophin signaling pathway;retrograde endocannabinoid signaling;dopaminergic synapse;inflammatory mediator regulation of trp channels;gnrh signaling pathway;progesterone-mediated oocyte maturation;prolactin signaling pathway;relaxin signaling pathway;age-rage signaling pathway in diabetic complications;growth hormone synthesis, secretion and action;amyotrophic lateral sclerosis ;epithelial cell signaling in helicobacter pylori infection;pathogenic escherichia coli infection;shigellosis;salmonella infection;pertussis;yersinia infection;leishmaniasis;chagas disease ;toxoplasmosis;tuberculosis;hepatitis b;human cytomegalovirus infection;kaposi sarcoma-associated herpesvirus infection;epstein-barr virus infection;human immunodeficiency virus 1 infection;proteoglycans in cancer;pd-l1 expression and pd-1 checkpoint pathway in cancer;fluid shear stress and atherosclerosis"
dasatinib,BTK,7,hsa04064;hsa04380;hsa04611;hsa04662;hsa04664;hsa05169;hsa05340,nf-kappa b signaling pathway;osteoclast differentiation;platelet activation;b cell receptor signaling pathway;fc epsilon ri signaling pathway;epstein-barr virus infection;primary immunodeficiency
dasatinib,CSK,1,hsa05120,epithelial cell signaling in helicobacter pylori infection
dasatinib,EPHB4,1,hsa04360,axon guidance
dasatinib,HSPA8,10,hsa03040;hsa04010;hsa04141;hsa04144;hsa04213;hsa04612;hsa04915;hsa05134;hsa05145;hsa05162,spliceosome;mapk signaling pathway;protein processing in endoplasmic reticulum;endocytosis;longevity regulating pathway - multiple species;antigen processing and presentation;estrogen signaling pathway;legionellosis;toxoplasmosis;measles
dasatinib,LYN,12,hsa04062;hsa04064;hsa04611;hsa04662;hsa04664;hsa04666;hsa04730;hsa05120;hsa05130;hsa05167;hsa05169;hsa05203,chemokine signaling pathway;nf-kappa b signaling pathway;platelet activation;b cell receptor signaling pathway;fc epsilon ri signaling pathway;fc gamma r-mediated phagocytosis;long-term depression;epithelial cell signaling in helicobacter pylori infection;pathogenic escherichia coli infection;kaposi sarcoma-associated herpesvirus infection;epstein-barr virus infection;viral carcinogenesis
dasatinib,FRK,0,,
dasatinib,BCR,2,hsa05200;hsa05220,pathways in cancer;chronic myeloid leukemia
dasatinib,FGR,1,hsa04062,chemokine signaling pathway
dasatinib,EPHA5,1,hsa04360,axon guidance
dasatinib,ZAK,0,,
dasatinib,NR4A3,1,hsa05202,transcriptional misregulation in cancer
mercaptopurine,HPRT1,3,hsa00230;hsa00983;hsa01100,purine metabolism;drug metabolism - other enzymes;metabolic pathways
mercaptopurine,PPAT,3,hsa00230;hsa00250;hsa01100,"purine metabolism;alanine, aspartate and glutamate metabolism;metabolic pathways"
raloxifene,ESR1,8,hsa01522;hsa04915;hsa04917;hsa04919;hsa04961;hsa05200;hsa05205;hsa05224,endocrine resistance;estrogen signaling pathway;prolactin signaling pathway;thyroid hormone signaling pathway;endocrine and other factor-regulated calcium reabsorption;pathways in cancer;proteoglycans in cancer;breast cancer
raloxifene,ESR2,6,hsa01522;hsa04915;hsa04917;hsa04929;hsa05200;hsa05224,endocrine resistance;estrogen signaling pathway;prolactin signaling pathway;gnrh secretion;pathways in cancer;breast cancer
raloxifene,SERPINB9,1,hsa05146,amoebiasis
raloxifene,TFF1,1,hsa04915,estrogen signaling pathway
cytarabine,POLB,3,hsa03410;hsa05166;hsa05203,base excision repair;human t-cell leukemia virus 1 infection;viral carcinogenesis
imatinib,BCR,2,hsa05200;hsa05220,pathways in cancer;chronic myeloid leukemia
imatinib,KIT,11,hsa04010;hsa04014;hsa04015;hsa04072;hsa04151;hsa04640;hsa04916;hsa05200;hsa05221;hsa05224;hsa05230,mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;phospholipase d signaling pathway;pi3k-akt signaling pathway;hematopoietic cell lineage;melanogenesis;pathways in cancer;acute myeloid leukemia;breast cancer;central carbon metabolism in cancer
imatinib,RET,3,hsa05200;hsa05216;hsa05230,pathways in cancer;thyroid cancer;central carbon metabolism in cancer
imatinib,NTRK1,10,hsa04010;hsa04014;hsa04151;hsa04210;hsa04722;hsa04750;hsa05200;hsa05202;hsa05216;hsa05230,mapk signaling pathway;ras signaling pathway;pi3k-akt signaling pathway;apoptosis;neurotrophin signaling pathway;inflammatory mediator regulation of trp channels;pathways in cancer;transcriptional misregulation in cancer;thyroid cancer;central carbon metabolism in cancer
imatinib,CSF1R,11,hsa04010;hsa04014;hsa04015;hsa04060;hsa04061;hsa04151;hsa04380;hsa04640;hsa05200;hsa05202;hsa05221,mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;cytokine-cytokine receptor interaction;viral protein interaction with cytokine and cytokine receptor;pi3k-akt signaling pathway;osteoclast differentiation;hematopoietic cell lineage;pathways in cancer;transcriptional misregulation in cancer;acute myeloid leukemia
imatinib,PDGFRA,20,hsa01521;hsa04010;hsa04014;hsa04015;hsa04020;hsa04072;hsa04144;hsa04151;hsa04510;hsa04540;hsa04630;hsa04810;hsa05163;hsa05200;hsa05206;hsa05214;hsa05215;hsa05218;hsa05230;hsa05231,egfr tyrosine kinase inhibitor resistance;mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;calcium signaling pathway;phospholipase d signaling pathway;endocytosis;pi3k-akt signaling pathway;focal adhesion;gap junction;jak-stat signaling pathway;regulation of actin cytoskeleton;human cytomegalovirus infection;pathways in cancer;micrornas in cancer;glioma;prostate cancer;melanoma;central carbon metabolism in cancer;choline metabolism in cancer
imatinib,DDR1,0,,
imatinib,ABL1,11,hsa04012;hsa04014;hsa04110;hsa04360;hsa04722;hsa05130;hsa05131;hsa05200;hsa05206;hsa05220;hsa05416,erbb signaling pathway;ras signaling pathway;cell cycle;axon guidance;neurotrophin signaling pathway;pathogenic escherichia coli infection;shigellosis;pathways in cancer;micrornas in cancer;chronic myeloid leukemia;viral myocarditis
imatinib,PDGFRB,19,hsa01521;hsa04010;hsa04014;hsa04015;hsa04020;hsa04072;hsa04151;hsa04510;hsa04540;hsa04630;hsa04810;hsa05165;hsa05200;hsa05206;hsa05214;hsa05215;hsa05218;hsa05230;hsa05231,egfr tyrosine kinase inhibitor resistance;mapk signaling pathway;ras signaling pathway;rap1 signaling pathway;calcium signaling pathway;phospholipase d signaling pathway;pi3k-akt signaling pathway;focal adhesion;gap junction;jak-stat signaling pathway;regulation of actin cytoskeleton;human papillomavirus infection;pathways in cancer;micrornas in cancer;glioma;prostate cancer;melanoma;central carbon metabolism in cancer;choline metabolism in cancer
alcohol,CACNB1,7,hsa04010;hsa04260;hsa04261;hsa04921;hsa05410;hsa05412;hsa05414,mapk signaling pathway;cardiac muscle contraction;adrenergic signaling in cardiomyocytes;oxytocin signaling pathway;hypertrophic cardiomyopathy ;arrhythmogenic right ventricular cardiomyopathy ;dilated cardiomyopathy 
alcohol,HTR3A,2,hsa04726;hsa04742,serotonergic synapse;taste transduction
alcohol,GABRA2,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,CHRNA10,1,hsa04080,neuroactive ligand-receptor interaction
alcohol,CACNA1C,31,hsa04010;hsa04020;hsa04022;hsa04024;hsa04260;hsa04261;hsa04270;hsa04713;hsa04720;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa04742;hsa04911;hsa04912;hsa04921;hsa04924;hsa04925;hsa04927;hsa04929;hsa04930;hsa04934;hsa04935;hsa05010;hsa05031;hsa05410;hsa05412;hsa05414,"mapk signaling pathway;calcium signaling pathway;cgmp-pkg signaling pathway;camp signaling pathway;cardiac muscle contraction;adrenergic signaling in cardiomyocytes;vascular smooth muscle contraction;circadian entrainment;long-term potentiation;retrograde endocannabinoid signaling;glutamatergic synapse;cholinergic synapse;serotonergic synapse;gabaergic synapse;dopaminergic synapse;taste transduction;insulin secretion;gnrh signaling pathway;oxytocin signaling pathway;renin secretion;aldosterone synthesis and secretion;cortisol synthesis and secretion;gnrh secretion;type ii diabetes mellitus;cushing syndrome;growth hormone synthesis, secretion and action;alzheimer disease;amphetamine addiction;hypertrophic cardiomyopathy ;arrhythmogenic right ventricular cardiomyopathy ;dilated cardiomyopathy "
alcohol,GLRA1,1,hsa04080,neuroactive ligand-receptor interaction
alcohol,GABRA5,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,GABRA4,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,GABRA3,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,GRIA1,12,hsa04024;hsa04080;hsa04713;hsa04720;hsa04723;hsa04724;hsa04728;hsa04730;hsa05014;hsa05017;hsa05031;hsa05033,camp signaling pathway;neuroactive ligand-receptor interaction;circadian entrainment;long-term potentiation;retrograde endocannabinoid signaling;glutamatergic synapse;dopaminergic synapse;long-term depression;amyotrophic lateral sclerosis ;spinocerebellar ataxia;amphetamine addiction;nicotine addiction
alcohol,GRIN3A,8,hsa04024;hsa04080;hsa04724;hsa05017;hsa05030;hsa05031;hsa05033;hsa05034,camp signaling pathway;neuroactive ligand-receptor interaction;glutamatergic synapse;spinocerebellar ataxia;cocaine addiction;amphetamine addiction;nicotine addiction;alcoholism
alcohol,CACNG1,7,hsa04010;hsa04260;hsa04261;hsa04921;hsa05410;hsa05412;hsa05414,mapk signaling pathway;cardiac muscle contraction;adrenergic signaling in cardiomyocytes;oxytocin signaling pathway;hypertrophic cardiomyopathy ;arrhythmogenic right ventricular cardiomyopathy ;dilated cardiomyopathy 
alcohol,CHRNA2,1,hsa04080,neuroactive ligand-receptor interaction
alcohol,GLRA2,1,hsa04080,neuroactive ligand-receptor interaction
alcohol,GABRA6,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,GABRA1,6,hsa04080;hsa04723;hsa04727;hsa04742;hsa05032;hsa05033,neuroactive ligand-receptor interaction;retrograde endocannabinoid signaling;gabaergic synapse;taste transduction;morphine addiction;nicotine addiction
alcohol,GRIA2,13,hsa04024;hsa04080;hsa04713;hsa04720;hsa04723;hsa04724;hsa04728;hsa04730;hsa05014;hsa05017;hsa05030;hsa05031;hsa05033,camp signaling pathway;neuroactive ligand-receptor interaction;circadian entrainment;long-term potentiation;retrograde endocannabinoid signaling;glutamatergic synapse;dopaminergic synapse;long-term depression;amyotrophic lateral sclerosis ;spinocerebellar ataxia;cocaine addiction;amphetamine addiction;nicotine addiction
alcohol,GRIA4,8,hsa04024;hsa04080;hsa04713;hsa04723;hsa04724;hsa04728;hsa05031;hsa05033,camp signaling pathway;neuroactive ligand-receptor interaction;circadian entrainment;retrograde endocannabinoid signaling;glutamatergic synapse;dopaminergic synapse;amphetamine addiction;nicotine addiction
alcohol,GRIA3,11,hsa04024;hsa04080;hsa04713;hsa04723;hsa04724;hsa04728;hsa04730;hsa05017;hsa05031;hsa05033;hsa05202,camp signaling pathway;neuroactive ligand-receptor interaction;circadian entrainment;retrograde endocannabinoid signaling;glutamatergic synapse;dopaminergic synapse;long-term depression;spinocerebellar ataxia;amphetamine addiction;nicotine addiction;transcriptional misregulation in cancer
alcohol,CHRNA4,3,hsa04080;hsa04725;hsa05033,neuroactive ligand-receptor interaction;cholinergic synapse;nicotine addiction
alcohol,CHRNB2,3,hsa04080;hsa04725;hsa05033,neuroactive ligand-receptor interaction;cholinergic synapse;nicotine addiction
alcohol,KCNJ3,10,hsa04713;hsa04723;hsa04724;hsa04725;hsa04726;hsa04728;hsa04915;hsa04921;hsa04929;hsa05032,circadian entrainment;retrograde endocannabinoid signaling;glutamatergic synapse;cholinergic synapse;serotonergic synapse;dopaminergic synapse;estrogen signaling pathway;oxytocin signaling pathway;gnrh secretion;morphine addiction
alcohol,KCNJ6,10,hsa04713;hsa04723;hsa04725;hsa04726;hsa04727;hsa04728;hsa04915;hsa04921;hsa04929;hsa05032,circadian entrainment;retrograde endocannabinoid signaling;cholinergic synapse;serotonergic synapse;gabaergic synapse;dopaminergic synapse;estrogen signaling pathway;oxytocin signaling pathway;gnrh secretion;morphine addiction
alcohol,VCAM1,8,hsa04064;hsa04514;hsa04668;hsa04670;hsa04933;hsa05143;hsa05144;hsa05418,nf-kappa b signaling pathway;cell adhesion molecules ;tnf signaling pathway;leukocyte transendothelial migration;age-rage signaling pathway in diabetic complications;african trypanosomiasis;malaria;fluid shear stress and atherosclerosis
